file,out,in_lufs,out_lufs,in_peak,out_peak,in_noise,out_noise,in_dur,out_dur,reference_length
13.mp3,jcom_merc_alx_L13,-26.93865996270367,-21.854103773978697,-11.473075538014541,-1.5000000000000053,-69.03235486639791,-62.14093503177733,7.317541666666667,7.317541666666667,8
14.mp3,jcom_merc_alx_L14,-30.464070669825812,-22.001542849920913,-14.148978331676139,-1.4999999999999971,-68.11599533975571,-58.76782061479118,7.6765,7.6765,8
15.mp3,jcom_merc_alx_L15,-27.67287688956956,-21.64654854142226,-11.500712382595733,-1.6728646868408206,-63.81344738153694,-56.15803454096561,14.736041666666667,14.736041666666667,15
16.mp3,jcom_merc_alx_L16,-25.694344791310357,-21.64654854142226,-7.070635770723205,-2.0792691277603503,-54.35227072115148,-48.73418087039333,10.0976875,10.0976875,11
17.mp3,jcom_merc_alx_L17,-28.397023591867498,-21.70361824754941,-10.303302527752862,-1.4999999999999996,-58.647945548372164,-52.93087982410487,15.992083333333333,15.992083333333333,16
18.mp3,jcom_merc_alx_L18,-27.088124983511836,-21.79560784236402,-8.279770813557949,-1.4999999999999971,-65.08456314383879,-61.56527678962042,16.602270833333332,16.602270833333332,17
19.mp3,jcom_merc_alx_L19,-24.652966298739205,-21.646548541422256,-9.247711199572526,-2.4677813170094915,-68.79464017802053,-64.18839059098582,4.469833333333334,4.4398333333333335,5
20.mp3,jcom_merc_alx_L20,-27.95909667957235,-21.76403463328241,-8.431046377977182,-1.4999999999999987,-67.02641723498455,-61.995014516789446,9.968416666666666,9.968416666666666,10
21.mp3,jcom_merc_alx_L21,-27.93464505796427,-21.663035413838305,-9.098886997080411,-1.5000000000000133,-59.596462594894334,-51.56131192649565,11.6279375,11.6129375,12
22.mp3,jcom_merc_alx_L22,-24.854597104022073,-21.68251564558585,-7.443634230499443,-1.5000000000002425,-59.384427676397074,-52.51761594063164,8.7513125,8.7513125,9
23.mp3,jcom_merc_alx_L23,-25.10052802881523,-21.695588001542657,-4.092387887968904,-1.4999999999999996,-63.699242527834976,-60.83852913395391,8.972979166666667,8.93,9
24.mp3,jcom_merc_alx_L24,-24.175622282988517,-21.674019518139065,-8.85606896612983,-1.4999999999999971,-66.41557589119056,-67.28719690853526,6.846708333333333,6.846708333333333,7
25.mp3,jcom_merc_alx_L25,-20.56618088279721,-21.68430687160231,-0.3105983471440846,-1.4999999999999971,-55.16455717531819,-55.053922613555486,3.8092083333333333,3.8092083333333333,4
26.mp3,jcom_merc_alx_L26,-27.0523352823222,-21.77439353464846,-9.092938358748393,-1.499999999999996,-55.73573953302525,-52.03471572798202,7.741916666666667,7.741916666666667,8
27.mp3,jcom_merc_alx_L27,-27.015317676614174,-21.793823082160802,-10.028282759787992,-1.500000000000058,-57.30018478725113,-51.23627309191513,8.2151875,8.2151875,9
28.mp3,jcom_merc_alx_L28,-27.341222606176853,-21.646548541422266,-10.985152268073248,-2.4506006349062033,-74.10638434163722,-70.38515705177767,3.2837916666666667,3.2837916666666667,4
29.mp3,jcom_merc_alx_L29,-28.640810347906008,-21.79930140704554,-9.871930885988649,-1.499999999999996,-66.4167515430233,-61.41281791620195,5.680979166666667,5.680979166666667,6
30.mp3,jcom_merc_alx_L30,-26.628124732283148,-21.74121236412729,-11.068865581031462,-1.500000000000097,-61.18217274465706,-57.63524248741575,7.823645833333333,7.823645833333333,8
31.mp3,jcom_merc_alx_L31,-27.528899582165117,-21.647217634385722,-8.39221804250654,-1.4999999999999971,-66.44772729110683,-61.80055380983766,9.022229166666667,9.022229166666667,10
32.mp3,jcom_merc_alx_L32,-26.606593601533895,-21.794331163992716,-7.756849892095713,-1.5000000000000946,-86.40851814168904,-82.30337262954693,4.416708333333333,4.376708333333333,5
33.mp3,jcom_merc_alx_L33,-24.228677641868803,-21.695417779939177,-1.97176492333469,-1.5000000000000009,-75.38851872903197,-72.22890282521615,11.558958333333333,11.558958333333333,12
34.mp3,jcom_merc_alx_L34,-26.93684614016472,-21.64654854142227,-9.39213234983271,-2.241622443497608,-58.93958203359121,-54.47674574035308,9.153583333333334,9.153583333333334,10
35.mp3,jcom_merc_alx_L35,-26.397993821630237,-21.793263864290285,-7.9775727824497045,-1.5000000000000009,-66.01630458871338,-63.91243425781567,15.990520833333333,15.990520833333333,16
36.mp3,jcom_merc_alx_L36,-26.450841247753946,-21.64654854142226,-10.316924508688388,-1.9177958232323298,-60.091119423623375,-54.84658406056879,5.344375,5.344375,6
37.mp3,jcom_merc_alx_L37,-28.321989279038174,-21.76078310825228,-10.323853025967393,-1.4999999999999996,-56.33743935466597,-50.33891372542144,9.293145833333334,9.225,10
38.mp3,jcom_merc_alx_L38,-28.32933216340653,-21.671388082588923,-11.447866801243842,-1.500000000000136,-54.80451239883678,-49.19626498856536,8.529666666666667,8.525,9
39.mp3,jcom_merc_alx_L39,-24.949812466818024,-21.786753163550593,-5.765928742928566,-1.4999999999999996,-71.40319991782376,-71.89484402738474,8.792375,8.792375,9
40.mp3,jcom_merc_alx_L40,-27.55329535401305,-21.650893109601263,-9.031451746198773,-1.4999999999999996,-60.50993813116385,-54.913533106027465,15.058145833333333,15.058145833333333,16
41.mp3,jcom_merc_alx_L41,-26.45914484486143,-21.649596011708436,-8.072864795284271,-1.500000000000004,-60.62374021812255,-57.77193542489178,10.634729166666666,10.634729166666666,11
42.mp3,jcom_merc_alx_L42,-25.395424859313348,-21.656104349433125,-5.092097921640471,-1.500000000000026,-68.01888264283927,-64.69305303328288,7.8135,7.8135,8
43.mp3,jcom_merc_alx_L43,-26.165157281617667,-21.66604673886167,-7.56008574870039,-1.5000000000000697,-63.45322159008529,-60.70731135384912,15.185854166666667,15.185854166666667,16
44.mp3,jcom_merc_alx_L44,-25.469044698934926,-21.661767269490657,-7.397613672487134,-1.4999999999999987,-88.4726946084761,-85.65821039115848,15.917270833333333,15.685,16
